gadm,poll_unit,atlas,old_mapit,pombola,MapIt State Name,MapIt Name,MapIt ID,EP area ID,EP area name
,,IJEBU ODE/ODOGBOLU/ IJEBU NORTH EAST,Ijebu Central,Ijebu Ode/Odogbolu/Ijebu North East,Ogun,IJEBU ODE/ODOGBOLU/ IJEBU NORTH EAST,966,"area/ijebu_ode/odogbolu/ijebu_north_east,_ogun_state","Ijebu Ode/Odogbolu/Ijebu North East, Ogun State"
,,Ikot Ekpene/ Essien Udim/ Obot Akara,Ikot Ekpene,Ikot Ekpene/Essien Udim/Obot Akara,Akwa Ibom,Ikot Ekpene/ Essien Udim/ Obot Akara,1076,"area/ikot_ekpene/_essien_udim/_obot_akara,_akwa_ibom_state","Ikot Ekpene/ Essien Udim/ Obot Akara, Akwa Ibom State"
,,Bebeji/Kiru,Kiru/Bebeji,Bebeji/Kiru,Kano,Bebeji/Kiru,1138,"area/bebeji/kiru,_kano_state","Bebeji/Kiru, Kano State"
,,Vandeikya/Konshisha,Konshisha/Vandekiya,Konshisha/Vandekiya,Benue,Vandeikya/Konshisha,926,"area/vandeikya/konshisha,_benue_state","Vandeikya/Konshisha, Benue State"
,,,,Yamaltu/Deba,Gombe,Yamaltu-Deba,1079,"area/yamaltu-deba,_gombe_state","Yamaltu-Deba, Gombe State"
,,,,Okitipupa/Irele,Ondo,Okitipupa/Irele,1173,"area/okitipupa/irele,_ondo_state","Okitipupa/Irele, Ondo State"
,,KEFFI/KARU/KOKONA,Karu / Kokona / Keffi,Keffi/Karu/Kokona,Nassarawa,KEFFI/KARU/KOKONA,951,"area/karu/keffi/kokona,_nassarawa_state","KARU/KEFFI/KOKONA, Nassarawa State"
,,Mbaitolu/Ikeduru,Mbaitoli/Ikeduru,Ikeduru/Mbaitoli,Imo,Mbaitolu/Ikeduru,1215,"area/mbaitolu/ikeduru,_imo_state","Mbaitolu/ikeduru, Imo State"
,,Calabar Munincipal/Odukpani,CALABAR/UDOKPANI,Calabar Municipal/Odukpani,Cross River,Calabar Munincipal/Odukpani,1024,"area/calabar_munincipal/odukpani,_cross_river_state","Calabar Munincipal/Odukpani, Cross River State"
,,,,Fika/Fune,Yobe,Fika/Fune,953,"area/fika/fune,_yobe_state","Fika/Fune, Yobe State"
,,ANKA//TALATA-MAFARA,Anka/Talata Mafara,Anka/Talata Mafara,Zamfara,ANKA//TALATA-MAFARA,975,"area/anka/mafara,_zamfara_state","Anka/Mafara, Zamfara State"
,,Etinan/ nsit/nsit Ubium,Etinan,Etinan/Nsit Ibom/Nsit ubium,Akwa Ibom,Etinan/ nsit/nsit Ubium,1238,"area/etinan/nsit_ibom/nsit_ubium,_akwa_ibom_state","Etinan/Nsit Ibom/Nsit Ubium, Akwa Ibom State"
,,Bama/Ngala/Kala-Balge,Bama / Ngala,Bama/Ngala/Kala-Balge,Borno,Bama/Ngala/Kala-Balge,1141,"area/bama/ngala/kalabalge,_borno_state","Bama/Ngala/Kalabalge, Borno State"
,,,,Tsanyawa/Kunchi,Kano,Tsanyawa/Kunchi,1140,"area/tsanyawa/kunchi,_kano_state","Tsanyawa/Kunchi, Kano State"
,,Biu/Bayo/Shani/Kwaya Kusar,Biu / Bayo / Kwaya-Kusar / Shani,Biu/Kwaya-Kusar/Shani/Bayo,Borno,Biu/Bayo/Shani/Kwaya Kusar,1181,"area/biu/bayo/shani/kwaya_kusar,_borno_state","Biu/Bayo/Shani/Kwaya Kusar, Borno State"
,,,,Ikeja,Lagos,IKEJA,1259,"area/ikeja,_lagos_state","Ikeja, Lagos State"
,,Ohaukwu/Ebonyi,Ebonyi/Ohaukwu,Ebonyi/Ohaukwu,Ebonyi,Ohaukwu/Ebonyi,1052,"area/ohaukwu/ebonyi,_ebonyi_state","Ohaukwu/Ebonyi, Ebonyi State"
,,Municipal/Bwari,ABUJA MUNICIPAL/BWARI,Abuja municipal/Bwari,Federal Capital Territory,Municipal/Bwari,1125,"area/abuja_municipal_/bwari,_federal_capital_territory_state","Abuja Municipal /Bwari, Federal Capital Territory State"
,,GULANI/GUJBA/DAMATURU/TARMUWA,Damatura/Gujba/Gulani/Tarmuwa,Damatura/Gujba/Gulani/Tarmuwa,Yobe,GULANI/GUJBA/DAMATURU/TARMUWA,969,"area/damaturu/gujba/gulani/tarmuwa,_yobe_state","Damaturu/Gujba/Gulani/Tarmuwa, Yobe State"
,,IFAKO-IJAIYE,Ifako Ijaye,Ifako Ijaye,Lagos,IFAKO-IJAIYE,1034,"area/ifako-ijaiye,_lagos_state","Ifako-Ijaiye, Lagos State"
,,,,Agege,Lagos,AGEGE,1070,"area/agege,_lagos_state","Agege, Lagos State"
,,Aninri/Agwu/Oji-uzo,Aninri / Agwu / Oji-River,Aninri / Agwu / Oji-River,Enugu,Aninri/Agwu/Oji-uzo,1096,"area/aninri/agwu/oji-uzo,_enugu_state","Aninri/Agwu/Oji-uzo, Enugu State"
,,Ughelli North/South/Udu,Udu/Ughelli North/South,Ughelli North/Ughelli South/Udu,Delta,Ughelli North/South/Udu,1031,"area/ughelli_north/south/udu,_delta_state","Ughelli North/South/Udu, Delta State"
,,AKOKO NORTH EAST/ AKOKO NORTH WEST,Akoko North East/North-West,Akoko North East/Akoko North West,Ondo,AKOKO NORTH EAST/ AKOKO NORTH WEST,1268,"area/akoko_north_east/west,_ondo_state","Akoko North East/West, Ondo State"
,,,,Wudil/Garko,Kano,Wudil/Garko,989,"area/wudil/garko,_kano_state","Wudil/Garko, Kano State"
,,,,Ringim/Taura,Jigawa,Ringim/Taura,1064,"area/ringim/taura,_jigawa_state","Ringim/Taura, Jigawa State"
,,,,Darazo/Ganjuwa,Bauchi,Darazo/Ganjuwa,1102,"area/darazo/gunjuwa,_bauchi_state","Darazo/Gunjuwa, Bauchi State"
,,IFELODUN/OFFA/OYUN,Felodun/Offa/Oyun,Ifelodun/Offa/Oyun,Kwara,IFELODUN/OFFA/OYUN,1055,"area/offa/oyun/ifelodun,_kwara_state","Offa/Oyun/Ifelodun, Kwara State"
,,,,Dawakin-Kudu/Warawa,Kano,Dawakin-Kudu/Warawa,1012,"area/dawakin_kudu/warawa,_kano_state","Dawakin Kudu/Warawa, Kano State"
,,,,Tarauni,Kano,Tarauni,1017,"area/tarauni,_kano_state","Tarauni, Kano State"
,,Michika/Madagali,Madagali / Michika,Madagali/Michika,Adamawa,Michika/Madagali,1095,"area/michika/madagali,_adamawa_state","Michika/Madagali, Adamawa State"
,,,,Awe/Doma/Keana ,Nassarawa,AWE/DOMA/KEANA,992,"area/awe/doma/keana,_nassarawa_state","Awe/Doma/Keana, Nassarawa State"
,,TAI/ELEME/OYIGBO,Eleme / Oyigbo / Tai,Eleme/Tai/Oyigbo,Rivers,TAI/ELEME/OYIGBO,1206,"area/tai/eleme/oyigbo,_rivers_state","Tai/Eleme/Oyigbo, Rivers State"
,,AFIJIO/ATIBA/OYO EAST/ OYO WEST,Afijio/Atiba East/Oyo West,Afijio/Oyo East/Oyo West/ Atiba,Oyo,AFIJIO/ATIBA/OYO EAST/ OYO WEST,1002,"area/afijio/oyo_east/oyo_west/_atiba,_oyo_state","Afijio/Oyo East/Oyo West/ Atiba, Oyo State"
,,,,Binji/Silame,Sokoto,BINJI/SILAME,1015,"area/binji/silame,_sokoto_state","Binji/Silame, Sokoto State"
,,,,Yabo/Shagari,Sokoto,Yabo/Shagari,1187,"area/shagari/yabo,_sokoto_state","Shagari/Yabo, Sokoto State"
,,,,Nkanu East/Nkanu West,Enugu,Nkanu East/Nkanu West,1049,"area/nkanu_east/nkanu_west,_enugu_state","Nkanu East/Nkanu West, Enugu State"
,,WURNO/RABBAH,Wurno / Rabah,Wurno / Rabah,Sokoto,WURNO/RABBAH,962,"area/wurno/rabah,_sokoto_state","Wurno/Rabah, Sokoto State"
,,Hong/Gombi,Gombi/Hong,Gombi/Hong,Adamawa,Hong/Gombi,922,"area/hong/gombi,_adamawa_state","Hong/Gombi, Adamawa State"
,,OSHODI/ISOLO II,Oshodi / Isolo Fed. Const II,Oshodi/Isolo II,Lagos,OSHODI/ISOLO II,1275,"area/oshodi-isolo_ii,_lagos_state","Oshodi-Isolo II, Lagos State"
,,TSAFE/GUSAU,GUSAU/TSAFE,Gusau/Tsafe,Zamfara,TSAFE/GUSAU,937,"area/tsafe/gusau,_zamfara_state","Tsafe/Gusau, Zamfara State"
,,OBIO AKPOR,Obio-Akpor,Obio-Akpor,Rivers,OBIO AKPOR,973,"area/obio/akpor,_rivers_state","Obio/Akpor, Rivers State"
,,Kaga/Gubio/Magumeri,Kaga / Gubio / Magumeri,Kaga/Gubio/Magumeri,Borno,Kaga/Gubio/Magumeri,988,"area/kaga/gubio/magumeri,_borno_state","Kaga/Gubio/Magumeri, Borno State"
,,Ahiazu Mbaise/Ezinihitte,AHIAZU-MBAISE/EZINITTE,Ahiazu Mbaise/Ezinihitte,Imo,Ahiazu Mbaise/Ezinihitte,1057,"area/ahiazu_mbaise/ezinihitte,_imo_state","Ahiazu Mbaise/Ezinihitte, Imo State"
,,OGBOMOSHO NORTH/OGBOMOSO SOUTH /ORIRE,Ogbomosho North & South/Orire,Ogbomoso North/Ogbomoso South/Orire,Oyo,OGBOMOSHO NORTH/OGBOMOSO SOUTH /ORIRE,1005,"area/ogbomosho/north/south/orire,_oyo_state","Ogbomosho/North/South/Orire, Oyo State"
,,Nnewi North/South/Ekwusigo,NnewiNort / South & Ekwusigo,Nnewi North/Nnewi South/Ekwusigo,Anambra,Nnewi North/South/Ekwusigo,1227,"area/nnewi_north/south/ekwusigo,_anambra_state","Nnewi North/South/Ekwusigo, Anambra State"
,,PORT HARCOURT II,Port Harcourt Fed. Const.2,Port Harcourt II,Rivers,PORT HARCOURT II,1220,"area/port_harcourt_2,_rivers_state","Port Harcourt 2, Rivers State"
,,,,Ogoja/Yala,Cross River,OGOJA/YALA,1061,"area/ogoja/yala,_cross_river_state","Ogoja/Yala, Cross River State"
,,,,Ogbaru,Anambra,Ogbaru,1111,"area/ogbaru,_anambra_state","Ogbaru, Anambra State"
,,KHANA/GOKANA,Khana / Gokana,Khana/Gokana,Rivers,KHANA/GOKANA,986,"area/khana/gokana,_rivers_state","Khana/Gokana, Rivers State"
,,EGBADO-NORTH/IMEKO-AFON,Egbado North/Imeko Afon,Egbado North/Imeko Afon,Ogun,EGBADO-NORTH/IMEKO-AFON,1157,"area/imeko_afon/egbado_north,_ogun_state","Imeko Afon/Egbado North, Ogun State"
,,Egor/Ikpoba-okha,Egor / Ikpoba-Okha,Egor/Ikpoba-Okha,Edo,Egor/Ikpoba-okha,957,"area/egor/ikpoba-okha,_edo_state","Egor/Ikpoba-okha, Edo State"
,,,,Ikwerre/Emohua,Rivers,Ikwerre/Emohua,1189,"area/ikwerre/_emohua,_rivers_state","Ikwerre/ Emohua, Rivers State"
,,RIJAU/MAGAMA,MAGAMA/RIJAU,Magama/Rijau,Niger,RIJAU/MAGAMA,1194,"area/magama/rijau,_niger_state","Magama/Rijau, Niger State"
,,Kura/Madobi/Garun Mallam,Kura/Madobi/Garum Mallam,Kura/Madobi/Garun Mallam,Kano,Kura/Madobi/Garun Mallam,1004,"area/kura/madobi/garun_malam,_kano_state","Kura/Madobi/Garun Malam, Kano State"
,,EDE NORTH/EDE SOUTH/EGBEDORE/EJIGBO,Eden North,Ede North/Ede South/ Egbedore/Ejigbo,Osun,EDE NORTH/EDE SOUTH/EGBEDORE/EJIGBO,1168,"area/ede_north,south/egbedero/ejigbo,_osun_state","Ede North,South/Egbedero/Ejigbo, Osun State"
,,Ezza North/Ishielu,Ezza North/Ishelu,Ezza North/Ishelu,Ebonyi,Ezza North/Ishielu,1050,"area/ezza_north/ishielu,_ebonyi_state","Ezza North/Ishielu, Ebonyi State"
,,Ukwa East/Ukwa West,Ukwa East/West,Ukwa East/Ukwa West,Abia,Ukwa East/Ukwa West,1110,"area/ukwa_east/ukwa_west,_abia_state","Ukwa East/Ukwa West, Abia State"
,,Okpe/Sapele/Uvwie,Okpe/ Sapele/ Uvwie,Okpe/Sapele/Uvwie,Delta,Okpe/Sapele/Uvwie,1035,"area/opke/sapele/uvwie,_delta_state","Opke/Sapele/Uvwie, Delta State"
,,Municipal/Bwari,ABUJA MUNICIPAL/BWARI,Abuja municipal/Bwari,Federal Capital Territory,Municipal/Bwari,1125,"area/amac/bwari,_federal_capital_territory_state","AMAC/Bwari, Federal Capital Territory State"
,,SHINKAFI/ZURMI,ZurmiI/Shinkafi,Shinkafi/Zurmi,Zamfara,SHINKAFI/ZURMI,1217,"area/zurmi/shinkafi,_zamfara_state","Zurmi/Shinkafi, Zamfara State"
,,,,Sokoto North/Sokoto South,Sokoto,Sokoto North/South,1106,"area/sokoto_north/sokoto_south,_sokoto_state","Sokoto North/Sokoto South, Sokoto State"
,,KALGO/BUNZA/BIRNIN KEBBI,Birnin Kebbi - Kalgo - Bunza,Bunza/Birnin Kebbi/Kalgo,Kebbi,KALGO/BUNZA/BIRNIN KEBBI,964,"area/b/kebbi/kalgo/bunza,_kebbi_state","B/Kebbi/Kalgo/Bunza, Kebbi State"
,,IBARAPA EAST/IDO,Ibarapa East / Ido,Ibarapa East/Ido,Oyo,IBARAPA EAST/IDO,1156,"area/ibarapa_east/ido,_oyo_state","Ibarapa East/Ido, Oyo State"
,,,,Owo/Ose,Ondo,Owo/Ose,1044,"area/owo/ose,_ondo_state","Owo/Ose, Ondo State"
,,,,Guyuk/Shelleng,Adamawa,Guyuk/Shelleng,1271,"area/guyuk/shelleng,_adamawa_state","Guyuk/Shelleng, Adamawa State"
,,JIBIA/KAITA,Kaita/Jibiya Constituency,Jibia/Kaita,Katsina,JIBIA/KAITA,1067,"area/kaita/jibia,_katsina_state","Kaita/Jibia, Katsina State"
,,NASSAWARA/TOTO,Nasarawa / Toto,Nasarawa/Toto,Nassarawa,NASSAWARA/TOTO,1009,"area/nasarawa/toto,_nassarawa_state","Nasarawa/Toto, Nassarawa State"
,,,,Ethiope East/Ethiope West,Delta,Ethiope,1246,"area/ethiope,_delta_state","Ethiope, Delta State"
,,,,Alabasu/Gaya/Ajingi,Kano,Albasu/Gaya/Ajingi,1107,"area/alabasu/gaya/ajingi,_kano_state","Alabasu/Gaya/Ajingi, Kano State"
,,,,Southern Ijaw,Bayelsa,Southern Ijaw,927,"area/southern_ijaw,_bayelsa_state","Southern Ijaw, Bayelsa State"
,,Uyo/Uruan/Nsit Ata/Ibeskip Asutan,Uyo,Uyo/Uruan/Nsit Atai/Ibesikpo Asutan,Akwa Ibom,Uyo/Uruan/Nsit Ata/Ibeskip Asutan,1248,"area/uyo/uruan/nsit_ata/ibeskip_asutan,_akwa_ibom_state","Uyo/Uruan/Nsit Ata/Ibeskip Asutan, Akwa Ibom State"
,,Awka North/South,Awka North & South,Awka North/Awka South,Anambra,Awka North/South,1233,"area/awka_north/south,_anambra_state","Awka North/South, Anambra State"
,,,,Sumaila/Takai,Kano,Sumaila/Takai,1089,"area/sumaila/takai,_kano_state","Sumaila/Takai, Kano State"
,,AMUWO-ODOFIN,Amuwo Odofin Federal Constituency,Amuwo-Odofin,Lagos,AMUWO-ODOFIN,1040,"area/amuwo_odofin,_lagos_state","Amuwo Odofin, Lagos State"
,,,,Nassarawa,Kano,Nassarawa,1020,"area/nassarawa,_kano_state","Nassarawa, Kano State"
,,Enugu North/South,Enugu North/Enugu South,Enugu North/Enugu South,Enugu,Enugu North/South,1030,"area/enugu_north/south,_enugu_state","Enugu North/South, Enugu State"
,,,,Oredo,Edo,Oredo,1058,"area/oredo,_edo_state","Oredo, Edo State"
,,DANDUME/FUNTUA,Funtua/Dandume Constituency,Funtua/Dandume,Katsina,DANDUME/FUNTUA,983,"area/funtua/dandume,_katsina_state","Funtua/Dandume, Katsina State"
,,Gombe/kwami/Funakaye,Gombe Kwami Funakaye,Gombe/Kwami/Funakaye,Gombe,Gombe/kwami/Funakaye,970,"area/gombe,kwami_&funakaye,_gombe_state","Gombe,kwami &Funakaye, Gombe State"
,,KEFFI/KARU/KOKONA,Karu / Kokona / Keffi,Keffi/Karu/Kokona,Nassarawa,KEFFI/KARU/KOKONA,951,"area/keffi/karu/kokona,_nassarawa_state","Keffi/Karu/Kokona, Nassarawa State"
,,Akpabuyo/Bakassi/Calabar South,Calabar South/Akpabuyo/Bakassi,Calabar South/Akpabuyo/ Bakassi,Cross River,Akpabuyo/Bakassi/Calabar South,1255,"area/akpabuyo/bakassi/calabar_south,_cross_river_state","Akpabuyo/Bakassi/Calabar South, Cross River State"
,,GADA/GORONYO,Goronyo/Gada,Goronyo/Gada,Sokoto,GADA/GORONYO,1010,"area/goronyo/gada,_sokoto_state","Goronyo/Gada, Sokoto State"
,,PATIGI/EDU/MORO,Edu/Moro/Patigi,Edu/Moro/Patigi,Kwara,PATIGI/EDU/MORO,1180,"area/edu/moro/patigi,_kwara_state","Edu/Moro/Patigi, Kwara State"
,,Igbo-Etiti/Uzo-Uwani,Igbo Etiti,Igbo-Etiti/Uzo-Uwani,Enugu,Igbo-Etiti/Uzo-Uwani,1086,"area/igbo-etiti/uzo-uwani,_enugu_state","Igbo-Etiti/Uzo-Uwani, Enugu State"
,,ADO-ODO/OTA,AdoOdo/Ota / Otta,Ado-Odo/Ota,Ogun,ADO-ODO/OTA,1203,"area/ado-odo/ota,_ogun_state","Ado-Odo/Ota, Ogun State"
,,ABUA-ODUAL/AHOADA EAST,Ahoada East/Abua/Odual,Abua-Odual/Ahoada East,Rivers,ABUA-ODUAL/AHOADA EAST,1216,"area/ahoada-east/abua/odual,_rivers_state","Ahoada-East/Abua/Odual, Rivers State"
,,MANI/BINDAWA,Mani/Bindawa Constituency,Mani/Bindawa,Katsina,MANI/BINDAWA,946,"area/mani/bindawa,_katsina_state","Mani/Bindawa, Katsina State"
,,Ikono/ Ini,Ini /Ikono,Ikono/Ini,Akwa Ibom,Ikono/ Ini,941,"area/ikono/_ini,_akwa_ibom_state","Ikono/ Ini, Akwa Ibom State"
,,,,Oluyole,Oyo,Oluyole,929,"area/oluyole_local_govt.,_oyo_state","Oluyole Local Govt., Oyo State"
,,OBOKUN/ORIADE,Oriade / Obokon,Obokun/Oriade,Osun,OBOKUN/ORIADE,1021,"area/obokon/oriade,_osun_state","Obokon/Oriade, Osun State"
,,MUSHIN II,Mushin II Federal Constituency,Mushin II Federal Constituency,Lagos,MUSHIN II,919,"area/mushin_ii,_lagos_state","Mushin II, Lagos State"
,,Mallam Madori/Kaugama,MalamMad/Kaugama,Mallam Madori/Kaugama,Jigawa,Mallam Madori/Kaugama,1123,"area/mallam_madori/kaugama,_jigawa_state","Mallam Madori/Kaugama, Jigawa State"
,,,,Karaye/Rogo,Kano,Karaye/Rogo,1160,"area/karaye/rogo,_kano_state","Karaye/Rogo, Kano State"
,,,,Gboko/Tarka,Benue,GBOKO/TARKA,959,"area/gboko/tarka,_benue_state","Gboko/Tarka, Benue State"
,,,,Kaduna South,Kaduna,Kaduna South,1223,"area/kaduna_south,_kaduna_state","Kaduna South, Kaduna State"
,,BARUTEN/KAIAMA,Baruten/Kalama,Baruten/Kaiama,Kwara,BARUTEN/KAIAMA,997,"area/baruten/kaiama,_kwara_state","Baruten/Kaiama, Kwara State"
,,IBADAN NORTH WEST/SOUTH WEST,Ibadan Southwest/ Northwest,Ibadan South West/Ibadan North West,Oyo,IBADAN NORTH WEST/SOUTH WEST,1145,"area/ibadan_north_west/south_west,_oyo_state","Ibadan North West/South West, Oyo State"
,,Kukawa/Mobbar/Abadam/Guzamala,Kukawa/Guzamala Abadam/Mobbar,Kukawa/Mobbar/Abadam/Guzamali,Borno,Kukawa/Mobbar/Abadam/Guzamala,945,"area/kukawa/mobbar/abadam/guzamalai,_borno_state","Kukawa/Mobbar/Abadam/Guzamalai, Borno State"
,,Abak/ETIM EKPO/IKA,Abak/Etim Ekpo & Ika,Abak/Etim Ekpo/Ika,Akwa Ibom,Abak/ETIM EKPO/IKA,1247,"area/abak/etim_ekpo/ika,_akwa_ibom_state","Abak/Etim Ekpo/Ika, Akwa Ibom State"
,,,,Dutsin-ma/Kurfi,Katsina,DUTSIN-MA/KURFI,1072,"area/dutsin-ma/kurfi,_katsina_state","Dutsin-ma/Kurfi, Katsina State"
,,ZURU/FAKAI/DANKO/SAKABA/WASAGU,Zuru/Fakai/Sakaba/Danko-Wasagu,Fakai/Sakaba/Wasagu/Danko/Zuru,Kebbi,ZURU/FAKAI/DANKO/SAKABA/WASAGU,1133,"area/zuru/fakai/sakaba/d/wasagu,_kebbi_state","Zuru/Fakai/Sakaba/D/Wasagu, Kebbi State"
,,Gwarzo/kabo,Gwarzo/kabo Federal Constituency,Gwarzo/Kabo,Kano,Gwarzo/kabo,1018,"area/gwarzo/ikabo,_kano_state","Gwarzo/Ikabo, Kano State"
,,YAGBA EAST/WEST/MOPAMURO,Yagba East/West,Yagba East/Yagba West/Mopamuro,Kogi,YAGBA EAST/WEST/MOPAMURO,1090,"area/yagba_east/yagba_west/mopa-muro,_kogi_state","Yagba East/Yagba West/Mopa-muro, Kogi State"
,,Aniocha North/South,Aniocha North/Aniocha South/Oshimili North/Oshimili South,Aniocha North/Aniocha South/Oshimili North/Oshimili South,Delta,Aniocha North/South,1022,area/aniocha_north/aniocha_south/_oshimili_n_&_s,
,,Dambatta/Makoda,Dabbatta/Makoda,Dabbatta/Makoda,Kano,Dambatta/Makoda,1204,"area/dambatta/makoda,_kano_state","Dambatta/Makoda, Kano State"
,,Anaocha/Njikoka/Dunukofia,Anocha/Njikoka/Dunukofia,Njikoka/Dunukofia/Anaocha,Anambra,Anaocha/Njikoka/Dunukofia,1099,"area/anaocha/njikoka/dunukofia,_anambra_state","Anaocha/Njikoka/Dunukofia, Anambra State"
,,,,Dala,Kano,Dala,1183,"area/dala,_kano_state","Dala, Kano State"
,,ILAJE/ESEODO,Ilaje / Ese Odo,Eseodo/Ilaje,Ondo,ILAJE/ESEODO,1056,"area/eseodo/ilaje,_ondo_state","Eseodo/Ilaje, Ondo State"
,,Aba North/South,Aba North / Aba South,Aba North/Aba South,Abia,Aba North/South,1109,"area/aba_north/south,_abia_state","Aba North/South, Abia State"
,,,,Ogbia,Bayelsa,Ogbia,1016,"area/ogbia,_bayelsa_state","Ogbia, Bayelsa State"
,,ISEYIN/ITESIWAJU/KAJOLA/IWAJOWA,Iseyin/ Itesiwasu / Kajola / Iwajowa,Iseyin/Itesiwasu/Kajola/Iwajowa,Oyo,ISEYIN/ITESIWAJU/KAJOLA/IWAJOWA,1037,"area/iseyin/itesiwaju/kajola/iwajowa,_oyo_state","Iseyin/Itesiwaju/Kajola/Iwajowa, Oyo State"
,,Askira-Uba/Hawul,Askira /Uba / Hawul,Askira /Uba / Hawul,Borno,Askira-Uba/Hawul,1131,"area/askira-uba/hawul,_borno_state","Askira-Uba/Hawul, Borno State"
,,LAFIA/OBI,Lafia  / Obi,Lafia/Obi,Nassarawa,LAFIA/OBI,971,"area/lafia/obi,_nassarawa_state","Lafia/Obi, Nassarawa State"
,,BOOSO/PAIKORO,Bosso/Paikoro,Bosso/Paikoro,Niger,BOOSO/PAIKORO,1065,"area/bosso/paikoro,_niger_state","BOSSO/PAIKORO, Niger State"
,,,,Wase,Plateau,Wase,1163,"area/wase,_plateau_state","Wase, Plateau State"
,,Zaria Federal,Zaria,Zaria,Kaduna,Zaria Federal,1128,"area/zaria_federal,_kaduna_state","Zaria Federal, Kaduna State"
,,ONDO WEST/ONDO EAST,ONDO EAST/WEST,Ondo East/Ondo West,Ondo,ONDO WEST/ONDO EAST,1171,"area/ondo_east/ondo_west,_ondo_state","Ondo East/Ondo West, Ondo State"
